Iteration,Network,Signal,MAC Address
1,"['eduroam', '-67', '38:90:A5:19:EB:F1']"
1,"['SDProbots', '-41', '00:13:21:57:B4:67']"
1,"['central', '-67', '38:90:A5:19:EB:F0']"
1,"['Visit-Ed', '-67', '38:90:A5:19:EB:F3']"
1,"['eduroam', '-34', '38:90:A5:0D:33:31']"
1,"['SDProbots', '-75', '00:16:35:9D:2B:09']"
1,"['eduroam', '-71', '38:90:A5:19:EB:FE']"
1,"['central', '-70', '38:90:A5:19:EB:FF']"
1,"['Visit-Ed', '-71', '38:90:A5:19:EB:FC']"
1,"['eduroam', '-44', '38:90:A5:0D:33:3E']"
1,"['central', '-43', '38:90:A5:0D:33:3F']"
1,"['SDP_AT', '-44', '38:90:A5:0D:33:3D']"
1,"['SDProbots', '-83', '00:13:21:57:E4:EB']"
1,"['central', '-35', '38:90:A5:0D:33:30']"
1,"['SDP_AT', '-38', '38:90:A5:0D:33:32']"
1,"['SDProbots', '-82', '00:0D:9D:F6:12:77']"
1,"['eduroam', '-84', '38:90:A5:20:20:41']"
1,"['Visit-Ed', '-89', '38:90:A5:4D:6A:1C']"
1,"['central', '-79', '38:90:A5:5A:11:10']"
1,"['SDP_AT', '-79', '38:90:A5:5A:11:12']"
1,"['eduroam', '-80', '38:90:A5:5A:11:11']"
1,"['eduroam', '-83', '38:90:A5:5A:11:1E']"
1,"['eduroam', '-88', '38:90:A5:4D:6A:1E']"
1,"['central', '-84', '38:90:A5:20:31:B0']"
1,"['Visit-Ed', '-83', '20:3A:07:85:59:52']"
1,"['eduroam', '-82', '20:3A:07:85:59:51']"
2,"['eduroam', '-67', '38:90:A5:19:EB:F1']"
2,"['SDProbots', '-42', '00:13:21:57:B4:67']"
2,"['central', '-66', '38:90:A5:19:EB:F0']"
2,"['Visit-Ed', '-67', '38:90:A5:19:EB:F3']"
2,"['eduroam', '-35', '38:90:A5:0D:33:31']"
2,"['SDProbots', '-75', '00:16:35:9D:2B:09']"
2,"['eduroam', '-71', '38:90:A5:19:EB:FE']"
2,"['central', '-71', '38:90:A5:19:EB:FF']"
2,"['Visit-Ed', '-71', '38:90:A5:19:EB:FC']"
2,"['eduroam', '-43', '38:90:A5:0D:33:3E']"
2,"['central', '-42', '38:90:A5:0D:33:3F']"
2,"['SDP_AT', '-43', '38:90:A5:0D:33:3D']"
2,"['SDProbots', '-83', '00:13:21:57:E4:EB']"
2,"['central', '-38', '38:90:A5:0D:33:30']"
2,"['SDP_AT', '-35', '38:90:A5:0D:33:32']"
2,"['SDProbots', '-82', '00:0D:9D:F6:12:77']"
2,"['eduroam', '-84', '38:90:A5:20:20:41']"
2,"['Visit-Ed', '-90', '38:90:A5:4D:6A:1C']"
2,"['central', '-79', '38:90:A5:5A:11:10']"
2,"['SDP_AT', '-79', '38:90:A5:5A:11:12']"
2,"['eduroam', '-80', '38:90:A5:5A:11:11']"
2,"['eduroam', '-83', '38:90:A5:5A:11:1E']"
2,"['eduroam', '-86', '38:90:A5:4D:6A:1E']"
2,"['central', '-84', '38:90:A5:20:31:B0']"
2,"['Visit-Ed', '-83', '20:3A:07:85:59:52']"
2,"['eduroam', '-84', '20:3A:07:85:59:51']"
2,"['central', '-85', '38:90:A5:20:20:40']"
2,"['central', '-83', '38:90:A5:5A:11:1F']"
2,"['SDP_AT', '-83', '38:90:A5:5A:11:1D']"
3,"['eduroam', '-66', '38:90:A5:19:EB:F1']"
3,"['SDProbots', '-55', '00:13:21:57:B4:67']"
3,"['central', '-66', '38:90:A5:19:EB:F0']"
3,"['Visit-Ed', '-66', '38:90:A5:19:EB:F3']"
3,"['eduroam', '-35', '38:90:A5:0D:33:31']"
3,"['SDProbots', '-74', '00:16:35:9D:2B:09']"
3,"['eduroam', '-70', '38:90:A5:19:EB:FE']"
3,"['central', '-70', '38:90:A5:19:EB:FF']"
3,"['Visit-Ed', '-71', '38:90:A5:19:EB:FC']"
3,"['eduroam', '-44', '38:90:A5:0D:33:3E']"
3,"['central', '-44', '38:90:A5:0D:33:3F']"
3,"['SDP_AT', '-43', '38:90:A5:0D:33:3D']"
3,"['SDProbots', '-83', '00:13:21:57:E4:EB']"
3,"['central', '-38', '38:90:A5:0D:33:30']"
3,"['SDP_AT', '-36', '38:90:A5:0D:33:32']"
3,"['SDProbots', '-85', '00:0D:9D:F6:12:77']"
3,"['eduroam', '-85', '38:90:A5:20:20:41']"
3,"['Visit-Ed', '-90', '38:90:A5:4D:6A:1C']"
3,"['central', '-79', '38:90:A5:5A:11:10']"
3,"['SDP_AT', '-79', '38:90:A5:5A:11:12']"
3,"['eduroam', '-80', '38:90:A5:5A:11:11']"
3,"['eduroam', '-83', '38:90:A5:5A:11:1E']"
3,"['eduroam', '-86', '38:90:A5:4D:6A:1E']"
3,"['central', '-84', '38:90:A5:20:31:B0']"
3,"['Visit-Ed', '-83', '20:3A:07:85:59:52']"
3,"['eduroam', '-84', '20:3A:07:85:59:51']"
3,"['central', '-85', '38:90:A5:20:20:40']"
3,"['central', '-83', '38:90:A5:5A:11:1F']"
3,"['SDP_AT', '-83', '38:90:A5:5A:11:1D']"
3,"['central', '-81', '20:3A:07:85:59:50']"
3,"['eduroam', '-87', '38:90:A5:20:31:B1']"
4,"['eduroam', '-66', '38:90:A5:19:EB:F1']"
4,"['SDProbots', '-42', '00:13:21:57:B4:67']"
4,"['central', '-67', '38:90:A5:19:EB:F0']"
4,"['Visit-Ed', '-66', '38:90:A5:19:EB:F3']"
4,"['eduroam', '-35', '38:90:A5:0D:33:31']"
4,"['SDProbots', '-74', '00:16:35:9D:2B:09']"
4,"['eduroam', '-71', '38:90:A5:19:EB:FE']"
4,"['central', '-70', '38:90:A5:19:EB:FF']"
4,"['Visit-Ed', '-71', '38:90:A5:19:EB:FC']"
4,"['eduroam', '-43', '38:90:A5:0D:33:3E']"
4,"['central', '-43', '38:90:A5:0D:33:3F']"
4,"['SDP_AT', '-43', '38:90:A5:0D:33:3D']"
4,"['SDProbots', '-87', '00:13:21:57:E4:EB']"
4,"['central', '-37', '38:90:A5:0D:33:30']"
4,"['SDP_AT', '-36', '38:90:A5:0D:33:32']"
4,"['SDProbots', '-85', '00:0D:9D:F6:12:77']"
4,"['eduroam', '-84', '38:90:A5:20:20:41']"
4,"['Visit-Ed', '-90', '38:90:A5:4D:6A:1C']"
4,"['central', '-79', '38:90:A5:5A:11:10']"
4,"['SDP_AT', '-80', '38:90:A5:5A:11:12']"
4,"['eduroam', '-80', '38:90:A5:5A:11:11']"
4,"['eduroam', '-83', '38:90:A5:5A:11:1E']"
4,"['eduroam', '-86', '38:90:A5:4D:6A:1E']"
4,"['central', '-84', '38:90:A5:20:31:B0']"
4,"['Visit-Ed', '-83', '20:3A:07:85:59:52']"
4,"['eduroam', '-85', '20:3A:07:85:59:51']"
4,"['central', '-83', '38:90:A5:20:20:40']"
4,"['central', '-83', '38:90:A5:5A:11:1F']"
